Sentence,Difficulty,Simplified
"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A1 tout en conservant au maximum son sens original."
"À cette époque, les Français font la même chose que d'autres pays.",B1,"À cette époque, les Français font comme les autres."
"Quand il fait beau, on est content. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",B1,"Quand il fait beau, on est heureux. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut."
"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre."
"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école.",B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école."
"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",B1,"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps."
Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.
Est-ce que je dois rire quand les gens ne comprennent pas ma musique ?,B1,Faut-il rire quand les gens ne comprennent pas ma musique ?
"Apprendre et grandir nous aide à mieux comprendre les choses. Des personnes très intelligentes comme Berthollet ont changé la chimie, mais ils ne savent pas tout.",B2,"Apprendre et grandir nous aide à mieux comprendre les choses. Des personnes très intelligentes comme Berthollet ont changé la chimie, mais ils ne savent pas tout."
"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit."
"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf."
"Pour avoir ce qu'on veut, il faut de l'argent.",A2,"Pour avoir ce qu'on veut, il faut de l'argent."
"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre."
"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens."
"Si on classe les éléments chimiques de façon ordonnée, on peut voir que leurs caractéristiques sont reliées.",C2,"Si on range les éléments chimiques de manière organisée, on peut voir que leurs propriétés sont liées."
"Parfois, ce que l'on pense vrai n'est pas toujours juste.",B1,"Parfois, ce que l'on pense vrai n'est pas toujours vrai."
Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?
Mais je pense qu'il y a un problème parce qu'ils ne veulent pas qu'il marche et que les scientifiques ne savent pas beaucoup.,B1,Mais je pense qu'il y a un problème parce qu'ils ne veulent pas qu'il marche. Les scientifiques ne savent pas beaucoup.
Observer les animaux est difficile pour faire des recherches scientifiques.,B2,Regarder les animaux est difficile pour faire des études scientifiques.
"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original."
"Je vais voir si je peux montrer que si on apprend bien les sciences, elles deviennent plus faciles à comprendre. Parce que les sciences changent, on ne devrait pas les considérer comme parfaites et figées.",B2,"Je vais voir si je peux montrer que si on apprend bien les sciences, elles sont plus faciles à comprendre. Parce que les sciences changent, on ne devrait pas les considérer comme parfaites et figées."
"D'abord, on apprend à l'école à faire des expériences scientifiques différemment. Sinon, on ne peut pas classer les choses bien.",B1,"D'abord, on apprend à l'école à faire des expériences scientifiques différemment. Sinon, on ne peut pas classer les choses bien."
"Parce que la chimie aide à comprendre l'espace et les maths, elle est très utile pour la physique.",B1,"Parce que la chimie aide à comprendre l'espace et les maths, elle est très utile pour la physique."
