Sentence,Difficulty,Simplified
"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A1 tout en conservant au maximum son sens original.",B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original."
"À cette époque, les Français ont des choses en commun avec d'autres pays.",B1,"À cette époque, les Français font la même chose que d'autres pays."
"Quand il fait beau, on est heureux. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",B1,"Quand il fait beau, on est content. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut."
"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre."
"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école.",B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école."
"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",B1,"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps."
Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.
Faut-il rire quand les gens ne comprennent pas ma musique ?,B1,Est-ce que je dois rire quand les gens ne comprennent pas ma musique ?
"Apprendre et grandir aide à comprendre mieux les choses. Les gens très intelligents comme Berthollet ont changé la chimie, mais ils ne savent pas tout.",B2,"Apprendre et grandir nous aide à mieux comprendre les choses. Des personnes très intelligentes comme Berthollet ont changé la chimie, mais ils ne savent pas tout."
"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit."
"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf."
"Pour avoir ce qu'on veut, il faut de l'argent.",A2,"Pour avoir ce qu'on veut, il faut de l'argent."
"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre."
"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens."
"Si on organise les éléments chimiques de manière logique, on peut voir que leurs propriétés sont liées.",C1,"Si on classe les éléments chimiques de façon ordonnée, on peut voir que leurs caractéristiques sont reliées."
"Parfois, ce que l'on pense vrai n'est pas toujours bien.",B1,"Parfois, ce que l'on pense vrai n'est pas toujours juste."
Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?
Mais je pense qu'il y a un problème parce qu'ils veulent qu'il ne fonctionne pas et que les scientifiques ne savent pas beaucoup.,B1,Mais je pense qu'il y a un problème parce qu'ils ne veulent pas qu'il marche et que les scientifiques ne savent pas beaucoup.
Regarder les animaux est difficile pour faire des expériences scientifiques.,B2,Observer les animaux est difficile pour faire des recherches scientifiques.
"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original."
"Je vais voir si je peux montrer que si on apprend bien les sciences, elles deviennent plus intéressantes. Parce que les sciences changent, on ne devrait pas les considérer comme parfaites et figées.",B2,"Je vais voir si je peux montrer que si on apprend bien les sciences, elles deviennent plus faciles à comprendre. Parce que les sciences changent, on ne devrait pas les considérer comme parfaites et figées."
"D'abord, on apprend à l'école à faire des expériences scientifiques différemment. Sinon, on ne peut pas classer les choses bien.",B1,"D'abord, on apprend à l'école à faire des expériences scientifiques différemment. Sinon, on ne peut pas classer les choses bien."
"Parce que la chimie aide à comprendre l'espace et les maths, elle est très utile pour la physique.",B1,"Parce que la chimie aide à comprendre l'espace et les maths, elle est très utile pour la physique."
"Il est très bon en mathématiques et en astronomie, et il aurait pu faire des découvertes importantes qui durent longtemps.",B1,"Il est très bon en mathématiques et en astronomie, et il aurait pu faire des découvertes importantes qui durent longtemps."
La science en question pourrait être trop liée à son origine pour qu'on puisse la diviser sans créer des confusions.,C1,La science en question pourrait être trop liée à son origine pour qu'on puisse la diviser sans créer des problèmes.
"En fait, le livre m'a aidé à comprendre l'histoire de l'opéra. Il parlait de chaque partie de la pièce et avait des idées qui disparaissaient vite avec la musique.",B1,"En réalité, le livre m'a aidé à comprendre l'histoire de l'opéra. Il parlait de chaque partie de la pièce et avait des idées qui disparaissaient vite avec la musique."
"Depuis longtemps, les gens ont des idées différentes sur ce qui existe, mais ils se disputent sur la meilleure façon de le comprendre.",B1,"Depuis longtemps, les gens ont des opinions différentes sur ce qui existe, mais ils se disputent sur la meilleure façon de le comprendre."
"Elle était parfois en silence et pensait beaucoup, mais quand elle parlait, elle parlait fort.",B1,"Elle était parfois en silence et pensait beaucoup, mais quand elle parlait, elle parlait fort."
"Donc, il y a beaucoup de choses à faire pour bien comprendre cette question importante de la philosophie chimique.",B1,"Donc, il y a beaucoup de choses à faire pour bien comprendre cette question importante de la philosophie chimique."
"Mon papa a toujours demandé à M. Legrandin des explications sur ses actions, mais il n'a jamais dit tout. Si on l'avait interrogé plus longtemps, il aurait peut-être appris quelque chose de nouveau sur la Normandie, plutôt que de dire qu'une de ses sœurs vivait près de Balbec. Il aurait dû nous donner une lettre pour que nous puissions nous faire connaître, mais il aurait été timide à l'idée que nous pourrions en tirer un avantage si nous l'avions utilisé.",B1,"Mon papa a toujours demandé à M. Legrandin des explications sur ses actions, mais il n'a jamais tout dit. Si on l'avait interrogé plus longtemps, il aurait peut-être appris quelque chose de nouveau sur la Normandie. Il aurait dû nous donner une lettre pour que nous puissions nous faire connaître, mais il aurait été timide à l'idée que nous pourrions en tirer un avantage si nous l'avions utilisé."
"Mais il faut être prudent avec ça, sinon ça ne va pas bien.",B1,"Mais il faut être prudent avec ça, sinon ça ne va pas bien."
"Quand des substances se rencontrent et sont dans un état comme le gaz ou le liquide, elles font des réactions chimiques.",B2,"Quand des substances se mélangent, elles peuvent faire des réactions chimiques si elles sont dans un état comme le gaz ou le liquide."
