Sentence,Difficulty,Simplified,Similarity,Estimated_Difficulty
"Car, en principe, la plus grande complication des phénomènes ne tient qu'à ce que leur acomplissement exige le concours d'un ensemble plus éte ndu de conditions hétérogènes, dont chacune étant, à son tour, ou suspendue, ou altérée, ou seulement même transposée, doit fournir d'autant plus de ressources, pour modifier, entre certaines limites, le résultat final du conflit, qu'il dépend d'un plus gr and nombre d'élémens divers.",B1,"Si quelque chose est très dur à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.8694931,B1
"En même temps que les idées, la mode, les critères de comportement social, empruntés à la France, vont peu à peu façonner la société policée de l'Europe continentale et même dans une certaine mesure de l'Angleterre.",B1,"À cette époque, les Français ont beaucoup en commun avec d'autres pays.",0.8373831,B1
"Car souvent dans l'une on trouve égaré un jour d'une autre, qui nous y fait vivre, en évoque aussitôt, en fait désirer les plaisirs particuliers et interrompt les rêves que nous étions en train de faire, en plaçant plus tôt ou plus tard qu'à son tour ce feuillet détaché d'un autre chapitre, dans le calendrier interpolé du bonheur ; mais bientôt, comme ces phénomènes naturels dont notre confort ou notre santé ne peuvent tirer qu'un bénéfice accidentel et assez mince jusqu'au jour où la science s'empare d'eux et, les produisant à volonté, remet en nos mains la possibilité de leur apparition, soustraite à la tutelle et dispensée de l'agrément du hasard, de même la production de ces rêves d'Atlantique et d'Italie cessa d'être soumise uniquement aux changements des saisons et du temps.",B1,"Quand il fait beau, on a beaucoup de bonheur. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",0.8490622,B1
"Une telle discussion n'a, d'ailleurs, d'intérêt, ni même de réalité, que sous le simple point de vue didactique, qui, malgré son importa nce, ne saurait affecter que d'une manière indirecte et secondaire l'esprit général de cet ouvrage.",B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.8468231,B1
"Asiles, fermes, bistrots, musées s'entrecroisent, dans un mouvement de balancier entre des descriptions sordides et des périodes plus apaisées, fournies par une journée réussie de mendicité ou les excentricités du poète anarchiste Emil Szittya, rencontré à Stuttgart.",B1,"Les endroits où on va, comme les écoles et les musées, sont amusants. Par exemple, quand on a beaucoup de chance à l'école et on fait de nouveaux amis.",0.86862624,B1
"La condition essentielle de cette précieuse méthode, consiste dans l'existence d'une suite suffisamment étendue de cas analogues mais distincts, où un phénomène commun se modifie de plus en plus, soit p ar des simplifications, soit par des dégradations successives et presque continues.",B1,"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88868415,B1
"Confronté avec rien de pire qu'un général en cuir crissant et ces mouvements légèrement percutants qui sont communs aux personnages militaires, lesquels semblent aspirer l'air au- dedans, sentent la poudre à canon et la chair de cheval, et, bien que léthargiques, ont l'air prêts à participer à une guerre encore indéterminée (type d'hommes pour lequel Hedwige s'était senti beaucoup d'inclination), Guido avait été secoué d'un tremblement invisible.",B1,Les soldats avec des vêtements en cuir ont une odeur de poudre et de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.,0.92999125,B1
"Suis-je un amuseur stipendié, dont on exige tous les soirs qu'il joue une farce intellectuelle sous vos nez imbéciles",B1,Est-ce que je dois faire des blagues quand les gens ne comprennent pas ma musique ?,0.87834036,B1
"L'empire de l'éducation, et, surtout, l'état correspondant du développement général de l'humanité, domine nt tellement la marche individuelle des esprits même les plus éminens, que le génie le plus profondément philosophique dont la chimie puisse s'honorer jusque ici, le grand Berthollet, dans l'immortel ouvrage où il a si victorieusement renversé l'ancienne doctrine des affinités invariables ou électives, ne peut luimême achever de se soustraire complétement aux habitudes (alors il est vrai, si prépondérantes) d'ontologie chimique, et maintient, pour l'explication journalière des phénomènes, l'usage presque a rbitraire des vaines conceptions d'affinité, rendues encore plus vagues par les modifications mêmes qu'il a dû leur faire subir.",B1,"L'apprendre et grandir aide beaucoup les gens à comprendre les choses, même ceux qui sont très intelligents comme Berthollet, qui a changé la chimie. Mais ils ne peuvent pas tout savoir.",0.8612817,B1
L'activité dépendante présuppose un rapport de subordination de l'employé qui se soumet aux instructions de l'employeur.,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2
"Quiconque aurait la dans mon coeur en son absence m'aurait pris pour un séducteur froid et peu sensible ; quiconque m'eût aperçu à ses côtés eût cru reconnaître en moi un amant novice, interdit et passionné.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",0.8950452,B1
Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,A2,"Pour avoir ce qu'on veut, il faut de l'argent.",0.75258404,A2
"Le ""rebâchage"" envoie les données dans la première mémoire, tandis que plusieurs approches différentes d'un même sujet vont permettre de dégager du sens et d'envoyer les don- nées communes au coeur de la mémoire sémantique"", explique-t-il",B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",0.86427283,B1
Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",0.89882845,B1
"Tout ce qu'on pourrait, à cet égard, concevoir de vraiment rationnel, abstraction faite des inductions analogiques plus ou moins plausibles auxquelles peuvent con duire certains rapprochemens déjà constatés, consisterait à découvrir des relations générales entre les propriétés chimiques de chaque élément et l'ensemble de ses propriétés physiques.",C2,"Si on classe les éléments chimiques de manière logique, on peut voir comment leurs propriétés chimiques et physiques sont liées.",0.90771383,C1
