Sentence,Difficulty,Simplified,Similarity,Estimated_Difficulty
Les hommes se croient libres alors qu'ils sont contraints ou déterminés par leur nature,B1,"Les gens croient qu'ils font ce qu'ils veulent, mais leur caractère peut les aider ou les empêcher parfois.",0.90418535,B1
"Nous devons, avant tout, caractériser avec exactitude l'objet général propre à cette dernière partie de la philosophie inorganique.",B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",0.91233027,B1
"En introduisant, dans des actes chimiques déjà bien explorés, quelques modifications déterminées, même légères et peu nombreuses, il est très rarement possible de prédire avec justesse les changemens qu'el les doivent produire: et néanmoins, sans cette indispensable condition, comme je l'ai si fréquemment établi dans ce traité, il n'existe point, à proprement parler, de science; il y a seulement érudition, quelles que puissent être l'importance et la multipl icité des faits recueillis.",B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1
"Il y en avait un qui était un haut compartiment divisé en une centaine de petits vitraux rectangulaires où dominait le bleu, comme un grand jeu de cartes pareil à ceux qui devaient distraire le roi Charles vi ; mais soit qu'un rayon eût brillé, soit que mon regard en bougeant eût promené à travers la verrière, tour à tour éteinte et rallumée, un mouvant et précieux incendie, l'instant d'après elle avait pris l'éclat changeant d'une traîne de paon, puis elle tremblait et ondulait en une pluie flamboyante et fantastique qui dégouttait du haut de la voûte sombre et rocheuse, le long des parois humides, comme si c'était dans la nef de quelque grotte irisée de sinueuses stalactites que je suivais mes parents, qui portaient leur paroissien ; un instant après les petits vitraux en losange avaient pris la transparence profonde, l'infrangible dureté de saphirs qui eussent été juxtaposés sur quelque immense pectoral, mais derrière lesquels on sentait plus aimé que toutes ces richesses, un sourire momentané de soleil ; il était aussi reconnaissable dans le flot bleu et doux dont il baignait les pierreries que sur le pavé de la place ou la paille du marché ; et, même à nos premiers dimanches quand nous étions arrivés avant pâques, il me consolait que la terre fût encore nue et noire, en faisant épanouir, comme en un printemps historique et qui datait des successeurs de saint Louis, ce tapis éblouissant et doré de myosotis en verre.",B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1
La nullité des français en langues étrangères et particulièrement en anglais est avérée,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1
Dix ans de fidélité avaient inspiré à M. de P *** une confiance entière ; il laissait à Ellénore la plus grande liberté.,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2
"La vraie science consiste, en tout genre, dans les relations exactes établies entre les faits observés, afin de déd uire, du moindre nombre possible de phénomènes fondamentaux, la suite la plus étendue de phénomènes secondaires, en renonçant absolument à la vaine enquête des causes et des essences.",B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1
"Mais, en réalité, la profonde diversité des a spects multiples, presque jamais susceptibles d'être coordonnés sous un chef unique, rend évidemment un tel perfectionnement à la fois très difficile et peu avantageux.",B1,Les gens ont des idées différentes et il est difficile de tout décider ensemble.,0.8486656,B1
"Quand cette solution aura été enfin obtenue d'une manière vraiment conforme à une telle position de la question, ou peut assurer que la chimie aura fait un pas immense vers l' état pleinement rationnel qui convient à sa nature scientifique.",B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1
Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,B1,"Dans l'ancienne religion grecque, on pense que Dieu nous aide mais on doit aussi travailler pour être heureux.",0.90511966,B1
"Il est aisé de nos jours, même aux esprits les plus médiocres, de provoquer, en ce genre, de nouveaux phénomènes susceptibles de quel que intérêt scientifique, en établissant, pour ainsi dire au hasard, entre les nombreuses substances déjà connues, des relations auparavant négligées: mais, dans l'enfance de la chimie, la création de sujets d'observation vraiment convenables a dû, au cont raire, longtemps présenter des difficultés capitales, que nos habitudes actuelles ne nous permettent guère de mesurer judicieusement.",B1,"On peut faire des projets avec des idées connues, mais il était plus difficile à l'origine de trouver des sujets intéressants à étudier.",0.89357805,B1
"Après avoir si pleinement constaté, dans la seconde moitié du volume précédent, combien l'étude des simples phénomènes physiques est encore i mparfaite, combien même son caractère scientifique doit, en général, nous sembler jusqu'ici, à plusieurs égards, radicalement défectueux, nous devons naturellement prévoir un état d'infériorité bien plus prononcé pour la science, beaucoup plus difficile, e t en même temps plus récente, qui recherche les lois des phénomènes de composition et de décomposition.",B1,"Quand quelque chose est simple, ça va mieux pour comprendre. Donne moi une phrase simplifiée au niveau A2 tout en conservant son sens original.",0.83622956,B2
"Une telle discussion n'a, d'ailleurs, d'intérêt, ni même de réalité, que sous le simple point de vue didactique, qui, malgré son importa nce, ne saurait affecter que d'une manière indirecte et secondaire l'esprit général de cet ouvrage.",A2,Il n'y a pas beaucoup de mots dans cette conversation et elle n'est pas très importante dans le livre.,0.8451953,A2
"Ainsi, cette considération d'histoire naturelle, quand elle est suffisamment approfondie, au lieu de jeter aucun doute sur les résultats élémentaires de l'analyse chimique actuelle, se présente bien plutôt comme propre à les confirmer, du moins dans leur ensemble.",B1,Dis-moi une phrase simple au niveau A1 tout en conservant son sens original.,0.8064574,B1
"Il y a là un plus grand équilibre entre le rôle que les communes jouent à travers la planification d'affectation et celui des cantons qui limitent les ""excès"" en termes d'utilisation du sol à travers une planification directrice plus ou moins restrictive en termes de nouvelles extensions urbaines.",B1,Les villes et les villages parlent ensemble pour décider où construire de nouveaux endroits. Les quartiers d'une ville montrent si elle peut grandir ou non.,0.90509784,B1
"Les gamins, vêtus pareillement à leurs papas, semblaient incommodés par leurs habits neufs (beaucoup même étrennèrent ce jour-là la première paire de bottes de leur existence), et l'on voyait à côté d'eux, ne soufflant mot dans la robe blanche de sa première communion rallongée pour la circonstance, quelque grande fillette de quatorze ou seize ans, leur cousine ou leur soeur aînée sans doute, rougeaude, ahurie, les cheveux gras de pommade à la rose, et ayant bien peur de salir ses gants.",B1,"Les enfants portaient des vêtements comme leurs pères et ils avaient du mal avec eux. Ils avaient même leurs premières bottes ce jour-là. À côté d'eux, une grande fille avait peur de salir ses gants blancs.",0.91861767,B1
"C'est ainsi que, pendant longtemps, quand, réveillé la nuit, je me ressouvenais de Combray, je n'en revis jamais que cette sorte de pan lumineux, découpé au milieu d'indistinctes ténèbres, pareil à ceux que l'embrasement d'un feu de Bengale ou quelque projection électrique éclairent et sectionnent dans un édifice dont les autres parties restent plongées dans la nuit : à la base assez large, le petit salon, la salle à manger, l'amorce de l'allée obscure par où arriverait M. Swann, l'auteur inconscient de mes tristesses, le vestibule où je m'acheminais vers la première marche de l'escalier, si cruel à monter, qui constituait à lui seul le tronc fort étroit de cette pyramide irrégulière ; et, au faîte, ma chambre à coucher avec le petit couloir à porte vitrée pour l'entrée de maman ; en un mot, toujours vu à la même heure, isolé de tout ce qu'il pouvait y avoir autour, se détachant seul sur l'obscurité, le décor strictement nécessaire (comme celui qu'on voit indiqué en tête des vieilles pièces pour les représentations en province) au drame de mon déshabillage ; comme si Combray n'avait consisté qu'en deux étages reliés par un mince escalier et comme s'il n'y avait jamais été que sept heures du soir.",B1,"Quand je me réveillais la nuit, je voyais seulement une partie de la maison qui était éclairée. C'était le petit salon, la salle à manger, l'entrée où M. Swann arrivait, l'escalier et ma chambre à coucher. Les autres pièces étaient noires. Ça me rappelait un décor simple pour une pièce de théâtre en province.",0.93053573,B1
Cet examen aura naturellement sa place spéciale dans la seconde partie de ce volume.,B1,Il y a un grand test dans le milieu du livre.,0.8658587,B1
