Sentence,Difficulty,Simplified
"Si quelque chose est très dur à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A1 tout en conservant au maximum son sens original."
"À cette époque, les Français ont beaucoup en commun avec d'autres pays.",B1,"À cette époque, les Français ont des choses en commun avec d'autres pays."
"Quand il fait beau, on a beaucoup de bonheur. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",B1,"Quand il fait beau, on est heureux. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut."
"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre."
"Les endroits où on va, comme les écoles et les musées, sont amusants. Par exemple, quand on a beaucoup de chance à l'école et on fait de nouveaux amis.",B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école."
"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",B1,"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps."
Les soldats avec des vêtements en cuir ont une odeur de poudre et de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.
Est-ce que je dois faire des blagues quand les gens ne comprennent pas ma musique ?,B1,Faut-il rire quand les gens ne comprennent pas ma musique ?
"L'apprendre et grandir aide beaucoup les gens à comprendre les choses, même ceux qui sont très intelligents comme Berthollet, qui a changé la chimie. Mais ils ne peuvent pas tout savoir.",B1,"Apprendre et grandir aide à comprendre mieux les choses. Les gens très intelligents comme Berthollet ont changé la chimie, mais ils ne savent pas tout."
"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit."
"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf."
"Pour avoir ce qu'on veut, il faut de l'argent.",A2,"Pour avoir ce qu'on veut, il faut de l'argent."
"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre.",B1,"Quand on apprend, ça va dans la tête. Si on a plusieurs idées, ça devient plus facile à comprendre."
"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens.",B1,"Dans l'ancienne religion grecque, on dit que les choses que nous faisons viennent de Dieu, mais elles sont aussi importantes pour les gens."
"Si on classe les éléments chimiques de manière logique, on peut voir comment leurs propriétés chimiques et physiques sont liées.",C1,"Si on organise les éléments chimiques de manière logique, on peut voir que leurs propriétés sont liées."
"Mais parfois, ce que l'on pense vrai n'est pas toujours bon.",B1,"Parfois, ce que l'on pense vrai n'est pas toujours bien."
Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?
Mais je pense que ça ne va pas bien parce qu'ils veulent qu'il ne marche pas et que les scientifiques ne savent pas beaucoup.,B1,Mais je pense qu'il y a un problème parce qu'ils veulent qu'il ne fonctionne pas et que les scientifiques ne savent pas beaucoup.
"Quand on regarde les animaux, c'est difficile de faire des expériences scientifiques.",B1,Regarder les animaux est difficile pour faire des expériences scientifiques.
"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original."
"Je vais voir si je peux montrer que si on apprend les sciences bien, elles deviennent plus fascinantes. Parce que les sciences changent, on ne devrait pas les considérer comme parfaites et figées.",B2,"Je vais voir si je peux montrer que si on apprend bien les sciences, elles deviennent plus intéressantes. Parce que les sciences changent, on ne devrait pas les considérer comme parfaites et figées."
"Après cela, il faut apprendre à l'école à comparer les manières de faire des expériences scientifiques. Sinon, on ne peut pas classer les choses bien.",B1,"D'abord, on apprend à l'école à faire des expériences scientifiques différemment. Sinon, on ne peut pas classer les choses bien."
"Parce que la chimie aide à comprendre l'espace et les maths, elle est très utile pour la physique.",B1,"Parce que la chimie aide à comprendre l'espace et les maths, elle est très utile pour la physique."
"Il est très bon en mathématiques et en astronomie, et il aurait pu faire des découvertes importantes qui durent longtemps.",B1,"Il est très bon en mathématiques et en astronomie, et il aurait pu faire des découvertes importantes qui durent longtemps."
La science en question pourrait être trop liée à son origine pour qu'elle puisse être divisée sans causer de confusion.,C1,La science en question pourrait être trop liée à son origine pour qu'on puisse la diviser sans créer des confusions.
"En réalité, le livre m'a aidé à comprendre l'histoire de l'opéra. Il parlait de chaque partie de la pièce et avait des idées qui disparaissaient vite avec la musique.",B1,"En fait, le livre m'a aidé à comprendre l'histoire de l'opéra. Il parlait de chaque partie de la pièce et avait des idées qui disparaissaient vite avec la musique."
"Depuis longtemps, les gens ont des opinions différentes sur ce qui existe, mais ils se disputent sur la meilleure façon de le comprendre.",B1,"Depuis longtemps, les gens ont des idées différentes sur ce qui existe, mais ils se disputent sur la meilleure façon de le comprendre."
"Elle était parfois en silence et pensait beaucoup, mais quand elle parlait, elle parlait fort.",B1,"Elle était parfois en silence et pensait beaucoup, mais quand elle parlait, elle parlait fort."
"Donc, il y a beaucoup de choses à faire pour bien comprendre cette question importante de la philosophie chimique.",B1,"Donc, il y a beaucoup de choses à faire pour bien comprendre cette question importante de la philosophie chimique."
