Sentence,Difficulty,Simplified
"En gros, quand quelque chose est très difficile à comprendre, c'est parce qu'il y a beaucoup de choses qui doivent être justes pour qu'il se passe. Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",B1,"Si quelque chose est très dur à comprendre, c'est parce qu'il y a beaucoup de choses qui doivent être justes pour qu'il se passe. Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original."
"À la même époque, les Français partagent leurs idées, leurs vêtements et leur façon de vivre avec d'autres pays européens, même l'Angleterre.",B1,"À cette époque, les Français partagent beaucoup de choses avec d'autres pays."
"Parfois, on se retrouve dans une situation où un jour d'un autre change la vie, et on en parle aussitôt, on en veut plus, et ça interrompt nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus.""""""",B1,"Parfois, une journée spéciale change tout. On en parle tout de suite, on en a plus, ça perturbe nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus."
"Parler de cette question n'a pas beaucoup d'importance, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment crucial pour tout le livre.",B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre."
"Les endroits où l'on se retrouve, comme les lieux où l'on travaille, les maisons et les musées, forment un mélange qui ressemble à une journée bien passée. Par exemple, quand on a beaucoup de chance à travailler et on rencontre des gens intéressants comme Emil Szittya, un poète qui a vécu à Stuttgart.",B1,"Les endroits où on va, comme les écoles et les musées, font un bon moment. Par exemple, quand on a beaucoup de chance à l'école et on fait de nouveaux amis comme Emil Szittya, un poète qui a vécu à Stuttgart."
"Pour que cette méthode fonctionne, il faut avoir beaucoup d'exemples qui sont presque les mêmes mais pas tout à fait, et où quelque chose change un peu tout le temps.",B1,"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps."
"Quand les soldats marchent lentement avec des uniformes en cuir, ils sentent l'odeur de la poudre et de la chair de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.",B1,"Quand les soldats portent des vêtements en cuir, ils sentent l'odeur de la poudre et de la chair de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas."
Est-ce que je dois faire des blagues pour les gens qui ne comprennent pas quand je joue de la musique ?,B1,Dois-je faire des blagues quand les gens ne comprennent pas ma musique ?
"L'éducation et l'évolution de l'humanité influencent beaucoup les gens, même les très intelligents comme Berthollet, qui a changé la chimie, mais ils ne peuvent pas tout échapper.",B2,"L'éducation et l'évolution de l'humanité aide beaucoup les gens à comprendre les choses, même les très intelligents comme Berthollet, qui a changé la chimie. Mais ils ne peuvent pas tout savoir."
"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit."
"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme froid. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant naïf et passionné.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme qui ne montre pas ses émotions. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant qui aime beaucoup et qui est naïf."
"Pour avoir ce qu'il veut, il faut de l'argent.",A2,"Pour avoir ce qu'on veut, il faut de l'argent."
